RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-02-28,2023-04-30,2024-01-31
88797,15038,70777,zip,LA,LA,Slaughter,"Baton Rouge, LA",East Feliciana Parish,2023-01-31,0.8,2.2,-2.4
59458,15039,04350,zip,ME,ME,Litchfield,"Augusta-Waterville, ME",Kennebec County,2023-01-31,0.6,1.5,3.6
76451,15040,43003,zip,OH,OH,Ashley,"Columbus, OH",Morrow County,2023-01-31,0.1,1.0,0.6
68529,15040,25253,zip,WV,WV,,"Point Pleasant, WV-OH",Mason County,2023-01-31,-0.1,-0.1,0.3
81557,15040,54107,zip,WI,WI,,"Shawano, WI",Shawano County,2023-01-31,1.5,2.2,2.3
65566,15043,18660,zip,PA,PA,Wapwallopen,"Scranton--Wilkes-Barre, PA",Luzerne County,2023-01-31,0.8,2.4,2.3
94977,15043,85544,zip,AZ,AZ,Pine,"Payson, AZ",Gila County,2023-01-31,0.1,0.5,2.6
69029,15050,26444,zip,WV,WV,Tunnelton,"Morgantown, WV",Preston County,2023-01-31,0.2,0.2,-3.2
75702,15050,40489,zip,KY,KY,Waynesburg,"Danville, KY",Lincoln County,2023-01-31,1.4,2.8,3.9
79559,15050,49072,zip,MI,MI,Mendon,"Sturgis, MI",Saint Joseph County,2023-01-31,1.0,2.3,1.4
81628,15050,54229,zip,WI,WI,Scott,"Green Bay, WI",Brown County,2023-01-31,0.7,1.4,2.1
64427,15058,16049,zip,PA,PA,Parker,"Pittsburgh, PA",Armstrong County,2023-01-31,2.0,4.2,3.1
62790,15059,12846,zip,NY,NY,Lake Luzerne,"Glens Falls, NY",Warren County,2023-01-31,-0.3,-0.5,-0.7
63007,15059,13167,zip,NY,NY,West Monroe,"Syracuse, NY",Oswego County,2023-01-31,-0.1,0.4,-0.1
82538,15061,55981,zip,MN,MN,Wabasha,"Rochester, MN",Wabasha County,2023-01-31,-0.2,0.1,-1.4
81135,15063,53004,zip,WI,WI,Belgium,"Milwaukee-Waukesha, WI",Ozaukee County,2023-01-31,0.3,0.4,-0.8
62794,15066,12850,zip,NY,NY,Middle Grove,"Albany-Schenectady-Troy, NY",Saratoga County,2023-01-31,-0.1,0.0,-1.7
87207,15066,66523,zip,KS,KS,Osage City,"Topeka, KS",Osage County,2023-01-31,0.5,1.5,2.1
90242,15070,74030,zip,OK,OK,Drumright,"Tulsa, OK",Creek County,2023-01-31,2.6,4.4,4.8
67798,15072,23696,zip,VA,VA,Seaford,"Virginia Beach-Norfolk-Newport News, VA-NC",York County,2023-01-31,0.1,-0.2,-1.1
63169,15073,13605,zip,NY,NY,Adams,"Watertown-Fort Drum, NY",Jefferson County,2023-01-31,-0.1,-0.3,-1.4
75038,15073,38857,zip,MS,MS,Mooreville,"Tupelo, MS",Lee County,2023-01-31,0.4,0.4,-1.1
60320,15075,06455,zip,CT,CT,Middlefield,"Hartford-East Hartford-Middletown, CT",Middlesex County,2023-01-31,0.0,0.3,-0.8
70126,15078,28676,zip,NC,NC,Elkin,"Mount Airy, NC",Surry County,2023-01-31,-0.2,-0.3,0.2
62212,15079,11732,zip,NY,NY,East Norwich,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County,2023-01-31,-0.1,-0.3,-1.3
84886,15079,61310,zip,IL,IL,Amboy,"Dixon, IL",Lee County,2023-01-31,0.6,1.8,0.2
72245,15082,32820,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,2023-01-31,-0.5,-1.2,-0.1
75307,15082,39459,zip,MS,MS,Moselle,"Laurel, MS",Jones County,2023-01-31,0.9,1.6,0.2
79586,15082,49101,zip,MI,MI,Baroda,"Niles, MI",Berrien County,2023-01-31,0.1,0.2,0.5
70323,15085,29129,zip,SC,SC,Ridge Spring,"Augusta-Richmond County, GA-SC",Aiken County,2023-01-31,1.9,4.1,3.3
86055,15085,63445,zip,MO,MO,Kahoka,"Fort Madison-Keokuk, IA-IL-MO",Clark County,2023-01-31,2.0,4.0,0.3
65221,15087,17856,zip,PA,PA,New Columbia,"Lewisburg, PA",Union County,2023-01-31,0.3,0.4,-1.0
72374,15088,33036,zip,FL,FL,Islamorada,"Key West, FL",Monroe County,2023-01-31,-0.6,-1.0,0.9
81173,15088,53048,zip,WI,WI,Lomira,"Beaver Dam, WI",Dodge County,2023-01-31,0.8,1.3,0.6
62606,15090,12487,zip,NY,NY,Ulster Park,"Kingston, NY",Ulster County,2023-01-31,-0.3,0.1,1.3
90411,15090,74454,zip,OK,OK,Porter,"Tulsa, OK",Wagoner County,2023-01-31,0.8,1.8,1.4
65091,15093,17532,zip,PA,PA,Holtwood,"Lancaster, PA",Lancaster County,2023-01-31,0.1,-0.2,-0.6
76557,15095,43154,zip,OH,OH,Stoutsville,"Columbus, OH",Fairfield County,2023-01-31,0.0,0.3,0.9
77191,15095,44470,zip,OH,OH,Southington,"Youngstown-Warren-Boardman, OH-PA",Trumbull County,2023-01-31,0.2,0.5,1.1
59171,15097,03608,zip,NH,NH,Walpole,"Keene, NH",Cheshire County,2023-01-31,-0.1,-0.1,1.2
88609,15097,70456,zip,LA,LA,Roseland,"Hammond, LA",Tangipahoa Parish,2023-01-31,,-1.7,-1.0
82772,15097,56312,zip,MN,MN,,"St. Cloud, MN",Stearns County,2023-01-31,0.5,1.4,-0.4
58825,15100,02633,zip,MA,MA,Chatham,"Barnstable Town, MA",Barnstable County,2023-01-31,-0.1,-0.2,0.1
84396,15100,60145,zip,IL,IL,Kingston,"Chicago-Naperville-Elgin, IL-IN-WI",DeKalb County,2023-01-31,0.6,1.0,-1.3
90935,15103,75473,zip,TX,TX,Powderly,"Paris, TX",Lamar County,2023-01-31,0.6,1.6,2.2
